Title,Author,Rating,Genres
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 8,619,871 ratings",
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,690,125 ratings",
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.65 avg rating — 6,546,631 ratings",
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"4.33 avg rating — 3,553,532 ratings",
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 9,997,117 ratings",
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"3.73 avg rating — 1,802,271 ratings",
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"3.74 avg rating — 1,699,313 ratings",
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"3.59 avg rating — 1,916,691 ratings",
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"4.58 avg rating — 3,257,901 ratings",
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,156,683 ratings",
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 3,673,221 ratings",
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,366,394 ratings",
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare (Goodreads Author),"4.07 avg rating — 1,994,442 ratings",
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 3,904,441 ratings",
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown (Goodreads Author),"3.91 avg rating — 2,344,444 ratings",
"The Host (The Host, #1)",Stephenie Meyer,"3.86 avg rating — 1,004,184 ratings",
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"4.09 avg rating — 3,208,609 ratings",
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare (Goodreads Author),"4.28 avg rating — 958,972 ratings",
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan (Goodreads Author),"4.31 avg rating — 2,989,794 ratings",
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare (Goodreads Author),"4.11 avg rating — 931,106 ratings",
"Vampire Academy (Vampire Academy, #1)",Richelle Mead (Goodreads Author),"4.11 avg rating — 643,214 ratings",
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,"4.74 avg rating — 287,020 ratings",
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.17 avg rating — 3,171,802 ratings",
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,091,563 ratings",
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,247,968 ratings",
The Time Traveler’s Wife,Audrey Niffenegger (Goodreads Author),"3.99 avg rating — 1,781,426 ratings",
"Angels & Demons (Robert Langdon, #1)",Dan       Brown (Goodreads Author),"3.94 avg rating — 3,186,496 ratings",
Water for Elephants,Sara Gruen (Goodreads Author),"4.11 avg rating — 1,610,948 ratings",
"The Giver (The Giver, #1)",Lois Lowry (Goodreads Author),"4.12 avg rating — 2,464,410 ratings",
The Kite Runner,Khaled Hosseini (Goodreads Author),"4.34 avg rating — 3,134,876 ratings",
The Book Thief,Markus Zusak (Goodreads Author),"4.39 avg rating — 2,543,708 ratings",
Midnight Sun [2008 Draft],Stephenie Meyer,"4.01 avg rating — 148,491 ratings",
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick (Goodreads Author),"3.93 avg rating — 702,617 ratings",
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead (Goodreads Author),"4.34 avg rating — 364,926 ratings",
The Lovely Bones,Alice Sebold,"3.85 avg rating — 2,347,299 ratings",
"Divergent (Divergent, #1)",Veronica Roth (Goodreads Author),"4.14 avg rating — 3,955,884 ratings",
"Uglies (Uglies, #1)",Scott Westerfeld (Goodreads Author),"3.85 avg rating — 661,812 ratings",
"Frostbite (Vampire Academy, #2)",Richelle Mead (Goodreads Author),"4.26 avg rating — 354,255 ratings",
The Help,Kathryn Stockett (Goodreads Author),"4.47 avg rating — 2,752,229 ratings",
"Graceling (Graceling Realm, #1)",Kristin Cashore,"4.07 avg rating — 460,197 ratings",
"Blood Promise (Vampire Academy, #4)",Richelle Mead (Goodreads Author),"4.31 avg rating — 312,271 ratings",
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"4.29 avg rating — 3,949,659 ratings",
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,087,594 ratings",
"Outlander (Outlander, #1)",Diana Gabaldon (Goodreads Author),"4.26 avg rating — 1,048,030 ratings",
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.24 avg rating — 2,784,912 ratings",
"Marked (House of Night, #1)",P.C. Cast (Goodreads Author),"3.81 avg rating — 494,453 ratings",
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris (Goodreads Author),"3.97 avg rating — 539,150 ratings",
The V Girl: a Coming of Age Story,Mya Robarts,"really liked it 4.00 avg rating — 16,307 ratings",
My Sister’s Keeper,Jodi Picoult (Goodreads Author),"4.10 avg rating — 1,215,293 ratings",
Memoirs of a Geisha,Arthur Golden,"4.15 avg rating — 1,995,630 ratings",
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.02 avg rating — 1,521,130 ratings",
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward (Goodreads Author),"4.16 avg rating — 335,559 ratings",
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,205,811 ratings",
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater (Goodreads Author),"3.76 avg rating — 480,092 ratings",
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan (Goodreads Author),"4.55 avg rating — 994,349 ratings",
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),"4.43 avg rating — 1,521,837 ratings",
"Evermore (The Immortals, #1)",Alyson Noel (Goodreads Author),"3.59 avg rating — 289,982 ratings",
The Stand,Stephen King (Goodreads Author),"4.35 avg rating — 757,598 ratings",
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"4.25 avg rating — 921,057 ratings",
"Betrayed (House of Night, #2)",P.C. Cast (Goodreads Author),"3.92 avg rating — 266,565 ratings",
"Fallen (Fallen, #1)",Lauren Kate (Goodreads Author),"3.72 avg rating — 584,499 ratings",
"Chosen (House of Night, #3)",P.C. Cast (Goodreads Author),"3.91 avg rating — 244,037 ratings",
Wuthering Heights,Emily Brontë,"3.89 avg rating — 1,796,161 ratings",
"Untamed (House of Night, #4)",P.C. Cast (Goodreads Author),"3.94 avg rating — 235,192 ratings",
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward (Goodreads Author),"4.43 avg rating — 180,048 ratings",
Speak,Laurie Halse Anderson (Goodreads Author),"4.05 avg rating — 590,714 ratings",
"Poison Study (Study, #1)",Maria V. Snyder (Goodreads Author),"4.10 avg rating — 165,122 ratings",
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan (Goodreads Author),"4.25 avg rating — 1,161,989 ratings",
Beneath a Scarlet Sky,Mark T. Sullivan (Goodreads Author),"4.43 avg rating — 337,732 ratings",
1984,George Orwell,"4.19 avg rating — 4,568,206 ratings",
The Princess Bride,William Goldman,"4.27 avg rating — 897,454 ratings",
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood (Goodreads Author),"4.14 avg rating — 2,035,316 ratings",
The Fault in Our Stars,John Green (Goodreads Author),"4.14 avg rating — 5,113,841 ratings",
The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),"4.09 avg rating — 1,288,167 ratings",
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward (Goodreads Author),"4.33 avg rating — 192,540 ratings",
"Hunted (House of Night, #5)",P.C. Cast (Goodreads Author),"3.92 avg rating — 182,186 ratings",
"Inkheart (Inkworld, #1)",Cornelia Funke (Goodreads Author),"3.92 avg rating — 422,813 ratings",
The Graveyard Book,Neil Gaiman (Goodreads Author),"4.16 avg rating — 536,857 ratings",
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan (Goodreads Author),"4.37 avg rating — 1,046,399 ratings",
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris (Goodreads Author),"3.96 avg rating — 252,409 ratings",
"Wake (Wake, #1)",Lisa McMann (Goodreads Author),"3.75 avg rating — 81,451 ratings",
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray (Goodreads Author),"3.79 avg rating — 222,025 ratings",
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr (Goodreads Author),"3.70 avg rating — 163,049 ratings",
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,402,903 ratings",
Gone Girl,Gillian Flynn (Goodreads Author),"4.13 avg rating — 3,076,426 ratings",
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory (Goodreads Author),"4.08 avg rating — 496,977 ratings",
The Alchemist,Paulo Coelho (Goodreads Author),"3.91 avg rating — 3,036,213 ratings",
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"4.19 avg rating — 750,560 ratings",
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward (Goodreads Author),"4.31 avg rating — 134,403 ratings",
"Watership Down (Watership Down, #1)",Richard  Adams,"4.08 avg rating — 479,759 ratings",
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.39 avg rating — 2,798,964 ratings",
Animal Farm,George Orwell,"3.99 avg rating — 3,860,599 ratings",
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan (Goodreads Author),"4.42 avg rating — 1,073,609 ratings",
"The Summoning (Darkest Powers, #1)",Kelley Armstrong (Goodreads Author),"4.02 avg rating — 171,445 ratings",
"The Notebook (The Notebook, #1)",Nicholas Sparks (Goodreads Author),"4.15 avg rating — 1,684,158 ratings",
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,593,527 ratings",
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward (Goodreads Author),"4.29 avg rating — 136,828 ratings",
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini (Goodreads Author),"3.95 avg rating — 1,769,277 ratings",
Fight Club,Chuck Palahniuk (Goodreads Author),"4.19 avg rating — 589,416 ratings",
"Unwind (Unwind, #1)",Neal Shusterman (Goodreads Author),"4.17 avg rating — 228,245 ratings",
